hasil,DIPO,Boffer Fixed,DS,DU,TAR
layak,MRL,Baik,13,15,100
layak,MRL,Rusak,13,15,75
layak,MRL,Baik,13,15,75
layak,MRL,Baik,13,15,100
tidak_layak,MRL,Baik,50,40,75
layak,MRL,Baik,15,15,100
layak,MRL,Baik,15,15,100
layak,MRL,Baik,15,18,75
layak,MRL,Baik,15,18,75
layak,MRL,Baik,15,18,75
layak,MRL,Baik,15,25,75
layak,MRL,Baik,15,25,75
tidak_layak,MRL,Rusak,40,30,75
tidak_layak,MRL,Rusak,40,30,75
tidak_layak,MRL,Rusak,40,30,75
tidak_layak,MRL,Rusak,55,30,75
tidak_layak,MRL,Rusak,50,30,75
layak,MRL,Rusak,10,15,100
layak,MRL,Rusak,10,15,75
layak,MRL,Rusak,10,15,75
layak,MRL,Rusak,10,15,75
layak,MRL,Rusak,10,15,100
layak,MRL,Rusak,15,15,75
layak,MRL,Rusak,15,15,75
layak,MRL,Rusak,15,15,75
layak,MRL,Baik,15,15,75
layak,MRL,Baik,15,15,75
layak,MRL,Baik,15,15,75
layak,MRL,Baik,15,25,75
layak,MRL,Baik,15,25,75
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,100
layak,MRL,Baik,15,25,75
layak,MRL,Baik,15,25,75
layak,MRL,Baik,15,15,75
layak,MRL,Baik,15,25,75
layak,MRL,Baik,15,25,75
layak,MRL,Baik,15,25,75
layak,MRL,Baik,15,25,75
layak,MRL,Baik,15,25,75
layak,MRL,Baik,15,25,75
layak,MRL,Baik,15,25,75
layak,MRL,Baik,15,25,75
layak,MRL,Baik,15,25,75
layak,MRL,Baik,15,25,75
layak,MRL,Baik,15,25,75
layak,MRL,Baik,15,25,75
layak,MRL,Baik,15,25,75
layak,MRL,Baik,15,25,75
layak,MRL,Baik,15,25,75
layak,MRL,Baik,15,25,75
